file,face,AU,activation
bullied.jpg,0,AU01,0.39273637533187866
bullied.jpg,0,AU02,0.1857738494873047
bullied.jpg,0,AU04,0.5543173551559448
bullied.jpg,0,AU05,0.31861960887908936
bullied.jpg,0,AU06,0.10936272144317627
bullied.jpg,0,AU07,0.0
bullied.jpg,0,AU09,0.16250933706760406
bullied.jpg,0,AU10,0.580166757106781
bullied.jpg,0,AU11,0.0
bullied.jpg,0,AU12,0.07369757443666458
bullied.jpg,0,AU14,0.4190942049026489
bullied.jpg,0,AU15,0.7679275870323181
bullied.jpg,0,AU17,0.4875350594520569
bullied.jpg,0,AU20,0.0
bullied.jpg,0,AU23,0.7604723572731018
bullied.jpg,0,AU24,0.7694656252861023
bullied.jpg,0,AU25,0.2201344221830368
bullied.jpg,0,AU26,0.11617220193147659
bullied.jpg,0,AU28,0.47218120098114014
bullied.jpg,0,AU43,0.044060297310352325
bullied.jpg,1,AU01,0.48832374811172485
bullied.jpg,1,AU02,0.2464766800403595
bullied.jpg,1,AU04,0.3781830072402954
bullied.jpg,1,AU05,0.6452375054359436
bullied.jpg,1,AU06,0.07127758115530014
bullied.jpg,1,AU07,0.0
bullied.jpg,1,AU09,0.1260024756193161
bullied.jpg,1,AU10,0.0010701417922973633
bullied.jpg,1,AU11,1.0
bullied.jpg,1,AU12,0.07775422930717468
bullied.jpg,1,AU14,0.2547653019428253
bullied.jpg,1,AU15,0.5455005764961243
bullied.jpg,1,AU17,0.48865777254104614
bullied.jpg,1,AU20,0.0
bullied.jpg,1,AU23,0.7335758209228516
bullied.jpg,1,AU24,0.7994655966758728
bullied.jpg,1,AU25,0.0392606295645237
bullied.jpg,1,AU26,0.1712806522846222
bullied.jpg,1,AU28,0.15373148024082184
bullied.jpg,1,AU43,0.039836231619119644
sad-man.jpg,0,AU01,0.5877749919891357
sad-man.jpg,0,AU02,0.20319098234176636
sad-man.jpg,0,AU04,0.5935767889022827
sad-man.jpg,0,AU05,0.49377015233039856
sad-man.jpg,0,AU06,0.23969335854053497
sad-man.jpg,0,AU07,1.0
sad-man.jpg,0,AU09,0.3207281529903412
sad-man.jpg,0,AU10,0.022944459691643715
sad-man.jpg,0,AU11,1.0
sad-man.jpg,0,AU12,0.2063545137643814
sad-man.jpg,0,AU14,0.25315389037132263
sad-man.jpg,0,AU15,0.2633970081806183
sad-man.jpg,0,AU17,0.5141558647155762
sad-man.jpg,0,AU20,0.0
sad-man.jpg,0,AU23,0.583602249622345
sad-man.jpg,0,AU24,0.6428148746490479
sad-man.jpg,0,AU25,0.790894627571106
sad-man.jpg,0,AU26,0.5668383836746216
